ID,Text
69,"Seasonality of primary care utilization for respiratory diseases in Ontario: A time-series analysis Background. Respiratory diseases represent a significant burden in primary care. Determining the temporal variation of the overall burden of respiratory diseases on the health care system and their potential causes are keys to understanding disease dynamics in populations and can contribute to the rational management of health care resources. Methods. A retrospective, cross-sectional time series analysis was used to assess the presence and strength of seasonal and temporal patterns in primary care visits for respiratory diseases in Ontario, Canada, for a 10-year period from January 1, 1992 to December 31, 2002. Data were extracted from the Ontario Health Insurance Plan database for people who had diagnosis codes for chronic obstructive pulmonary disease, asthma, pneumonia, or upper respiratory tract infections. Results. The results illustrate a clear seasonal pattern in visits to primary care physicians for all respiratory conditions, with a threefold increase in visits during the winter. Age and sex-specific rates show marked increases in visits of young children and in female adults. Multivariate time series methods quantified the interactions among primary care visits, and Granger causality criterion test showed that the respiratory syncytial virus (RSV) and influenza virus influenced asthma (p = 0.0060), COPD (p = 0.0038), pneumonia (p = 0.0001), and respiratory diseases (p = 0.0001). Conclusion. Primary care visits for respiratory diseases have clear predictable seasonal patterns, driven primarily by viral circulations. Winter visits are threefold higher than summer troughs, indicating a short-term surge on primary health service demands. These findings can aid in effective allocation of resources and services based on seasonal and specific population demands.  2008 Moineddin et al; licensee BioMed Central Ltd. (Moineddin R., rahim.moineddin@utoronto.ca; Upshur R.E.G., ross.upshur@sunnybrook.ca) Department of Family and Community Medicine, University of Toronto, 263 McCaul Street, Toronto, ON M5T 2W7, Canada. , (Moineddin R., rahim.moineddin@utoronto.ca; Upshur R.E.G., ross.upshur@sunnybrook.ca) Department of Public Health Sciences, University of Toronto, Health Sciences Building, 155 College Street, Toronto, ON M5T 3M7, Canada. , (Moineddin R., rahim.moineddin@utoronto.ca; Nie J.X., jason.nie@utoronto.ca; Domb G., gabidomb@hotmail.com; Leong A.M., alan.leong@utoronto.ca; Upshur R.E.G., ross.upshur@sunnybrook.ca) Primary Care Research Unit, Sunnybrook Health Sciences Centre, 2075 Bayview Ave, #E-349, Toronto, ON M4N 3M5, Canada. , (Nie J.X., jason.nie@utoronto.ca; Upshur R.E.G., ross.upshur@sunnybrook.ca) University of Toronto, Joint Centre for Bioethics, 88 College Street, Toronto, ON M5G 1L4, Canada. , (Upshur R.E.G., ross.upshur@sunnybrook.ca) Institute for Clinical Evaluative Sciences, 2075 Bayview Avenue, Toronto, ON M4N 3M5, Canada."
70,"Burden of respiratory syncytial virus infection in older and high-risk adults: a systematic review and meta-analysis of the evidence from developed countries Background Respiratory syncytial virus (RSV) significantly impacts the health of older and high-risk adults (those with comorbidities). We aimed to synthesise the evidence on RSV disease burden and RSV-related healthcare utilisation in both populations. Methods We searched Embase and MEDLINE for papers published between 2000 and 2019 reporting the burden and clinical presentation of symptomatic RSV infection and the associated healthcare utilisation in developed countries in adults aged 60 years or at high risk. We calculated pooled estimates using random-effects inverse variance-weighted meta-analysis. Results 103 out of 3429 articles met the inclusion criteria. Among older adults, RSV caused 4.66% (95% CI 3.346.48%) of symptomatic respiratory infections in annual studies and 7.80% (95% CI 5.7710.45%) in seasonal studies; RSV-related case fatality proportion (CFP) was 8.18% (95% CI 5.5411.94%). Among high-risk adults, RSV caused 7.03% (95% CI 5.189.48%) of symptomatic respiratory infections in annual studies, and 7.69% (95% CI 6.239.46%) in seasonal studies; CFP was 9.88% (95% CI 6.6614.43%). Data paucity impaired the calculation of estimates on population incidence, clinical presentation, severe outcomes and healthcare-related utilisation. Conclusions Older and high-risk adults frequently experience symptomatic RSV infection, with appreciable mortality; however, detailed data are lacking. Increased surveillance and research are needed to quantify population-based disease burden and facilitate RSV treatments and vaccine development. (Nguyen-Van-tam J.S.) University of Nottingham School of Medicine, Lifespan and Population Health Unit, Nottingham, United Kingdom. , (Oleary M.; Tran T.M.P., Thao.tran@p-95.com) P95 Epidemiology and Pharmacovigilance, Leuven, Belgium. , (Martin E.T.) University of Michigan, School of Public Health, Ann Arbor, MI, United States. , (Heijnen E.; Callendret B.; Comeaux C.) Janssen Vaccines and Prevention BV, Leiden, Netherlands. , (Fleischhackl R.) Janssen Research and Development, Beerse, Belgium. , (Weber K.) Janssen Global Medical Affairs, IDV, Vienna, Austria."
71,"Chronic obstructive pulmonary disease exacerbation fundamentals: Diagnosis, treatment, prevention and disease impact In chronic obstructive pulmonary disease (COPD), exacerbations (ECOPD), characterized by an acute deterioration in respiratory symptoms, are fundamental events impacting negatively upon disease progression, comorbidities, wellbeing and mortality. ECOPD also represent the largest component of the socioeconomic burden of COPD. ECOPDs are currently defined as acute worsening of respiratory symptoms that require additional therapy. Definitions that require worsening of dyspnoea and sputum volume/purulence assume that acute infections, especially respiratory viral infections, and/or exposure to pollutants are the main cause of ECOPD. But other factors may contribute to ECOPD, such as the exacerbation of other respiratory diseases and non-respiratory diseases (e.g., heart failure, thromboembolism). The complexity of worsening dyspnoea has suggested a need to improve the definition of ECOPD using objective measurements such as blood counts and C-reactive protein to improve accuracy of diagnosis and a personalized approach to management. There are three time points when we can intervene to improve outcomes: acutely, to attenuate the length and severity of an established exacerbation; in the aftermath, to prevent early recurrence and readmission, which are common, and in the long-term, establishing preventative measures that reduce the risk of future events. Acute management includes interventions such as corticosteroids or antibiotics and measures to support the respiratory system, including non-invasive ventilation (NIV). Current therapies are broad and better understanding of clinical phenotypes and biomarkers may help to establish a more tailored approach, for example in relation to antibiotic prescription. Other unmet needs include effective treatment for viruses, which commonly cause exacerbations. Preventing early recurrence and readmission to hospital is important and the benefits of interventions such as antibiotics or anti-inflammatories in this period are not established. Domiciliary NIV in those patients who are persistently hypercapnic following discharge and pulmonary rehabilitation can have a positive impact. For long-term prevention, inhaled therapy is key. Dual bronchodilators reduce exacerbation frequency but in patients with continuing exacerbations, triple therapy should be considered, especially if blood eosinophils are elevated. Other options include phosphodiesterase inhibitors and macrolide antibiotics. ECOPD are a key component of the assessment of COPD severity and future outcomes (quality of life, hospitalisations, health care resource utilization, mortality) and are a central component in pharmacological management decisions. Targeted therapies directed towards specific pathways of inflammation are being explored in exacerbation prevention, and this is a promising avenue for future research. (MacLeod M.; Wedzicha J.A., j.wedzicha@imperial.ac.uk) National Heart and Lung Institute, Imperial College, London, United Kingdom. , (Papi A., ppa@unife.it; Contoli M.; Fabbri L.M.) Department of Translational Medicine, University of Ferrara, Ferrara, Italy. , (Beghe B.; Fabbri L.M.) Department of Respiratory Diseases, University of Modena and Reggio Emilia, Modena, Italy. , (Celli B.R.) Harvard Medical School, Boston, MA, United States."
72,"Impact of RSV: implications for managed care. Severe RSV disease, manifested as bronchiolitis or pneumonia, is the leading cause of hospitalization of infants younger than 1 year of age in the United States. Infants born 35 weeks or less GA are particularly at high risk of severe RSV disease, which may result in frequent NICU admissions or long hospital stays and additional health care utilization over the first 12 months of life. This care is costly--infants 33 to 36 weeks GA with a history of RSV hospitalization incur costs that are nearly 5 times as much as costs for 33 to 36 weeks GA infants with no history of RSV hospitalization. Managed care payers should be cognizant of the potential ramifications of severe RSV disease in infants. Developing a proactive RSV management strategy can help improve health outcomes and reduce unnecessary hospital resource use. (Makari D.; Hoopes J.M.; White N.) Medical and Scientific Affairs, Medlmmune, LLC."
73,"Clinical relevance of prevention of respiratory syncytial virus lower respiratory tract infection in preterm infants born between 33 and 35 weeks gestational age Premature infants are vulnerable to severe respiratory syncytial virus (RSV) lower respiratory tract infection (LRTI) resulting in hospitalisation and the potential for longer-term respiratory morbidity. Whilst the severity and consequence of RSV LRTI are generally accepted and recognised in infants born 32 weeks gestational age (GA), there is less acknowledgment of the potential consequences in infants born 33-35 weeks GA. However, there is a growing body of evidence suggesting that infants born between 33 and 35 weeks GA may be equally at risk for RSV LRTI as infants born <32 weeks GA. Interrupted lung development and an immature immune system have been linked with an increased susceptibility for RSV LRTI, along with other environmental, social, and physiological risk factors. Currently, the only effective method of preventing RSV LRTI is prophylaxis with palivizumab. Often with limited healthcare resources, identifying infants at greatest risk of RSV LRTI who would potentially benefit most from prophylaxis is highly desirable, particularly in the 33-35-week GA group. The purpose of this article is to examine the causes and consequences of RSV LRTI in infants born 33-35 weeks GA, and look at the potential for using risk factors to identify high risk infants and, thereby, optimise prophylaxis. The causes and consequences of RSV LRTI in infants born 33-35 weeks GAA were determined via literature review. A number of underlying risk factors that significantly increase the risk of severe RSV LRTI and subsequent hospitalisation in this group of infants have been identified, most notably from the FLIP and PICNIC studies. A European predictive model based on the risk factors in the FLIP study has recently been developed and validated, which will aid identification of infants born between 33 and 35 weeks GA with the highest risk of RSV hospitalisation. Implementation of this model and prophylaxis of infants born between 33 and 35 weeks GA should be a national or regional decision, taken in perspective of other public health needs.  2008 Springer-Verlag. (Carbonell-Estrany X., xcarbo@clinic.ub.es) Hospital Clinic, Institut Clinic de Ginecologia Obstetricia I Neonatologia, Neonatology Service, Barcelona, Spain. , (Bont L.) Wilhelmina Children's Hospital, University Medical Center, Utrecht, Netherlands. , (Doering G.) , (Gouyon J.-B.) Service de Pediatrie 2, Hopital d'Enfants, Dijon Cedex, France. , (Lanari M.) Pediatrics and Neonatology Unit, Hospital of Imola, Imola, Italy."
74,"Inpatient and outpatient costs associated with respiratory syncytial virus in Japanese infants and older adults Objective: To evaluate healthcare resource use for respiratory syncytial virus (RSV) in Japan. Methods: Using JMDC and Medical Data Vision (MDV) claims databases, we retrospectively evaluated cost and length of hospital/intensive care unit stays in RSV-diagnosed cohorts of infants (<12 months) and older adults (OAs, 60 years). We analyzed the usage and costs of palivizumab in infants. Results: Mean costs among those hospitalized were $2823 (USD); $2851; and $6609 (131 [JPY]/$) in JMDC-infant (n = 13,752); MDV-infant (n = 22,142); and MDV-OA cohorts (n = 165), respectively. The mean cost was higher in those aged <1 month, with risk factors, and severe RSV disease. Mean cumulative cost of palivizumab prophylaxis in JMDC infant cohort was $6796/year. Conclusion: RSV causes enormous economic burden in infants and OAs. Plain language summary - Cost of treating respiratory syncytial virus infection in infants & elderly in Japan Respiratory syncytial virus (RSV) is an important disease in infants and older adults that affects the airways. Using two Japanese insurance databases we identified RSV patients aged under 1 year and above 59 years. We examined their healthcare use and calculated the cost within 1 month of the RSV diagnosis - we calculated the cost of RSV treatment in those hospitalized and not hospitalized. We also assessed the use of medicines and the days of stay in hospital or intensive care unit. The cost of treatment of hospitalized infants was more than $2800 per patient. The cost of treatment of hospitalized older adults was $6609 per patient. Clearly, the healthcare costs for hospitalized older adults were much higher than the average cost for hospitalized infants. However, infants aged less than 1 month, with risk factors, and with severe RSV disease had higher costs. The total cost for patients not hospitalized was more in infants than in older adults. Palivizumab can prevent RSV infection in infants. The collective total cost of palivizumab use was more than $6450 per infant aged 11 months. The medical management of RSV infection is very costly, and this is true both for infants and older adults. Tweetable abstract Costs and hospitalization associated with respiratory syncytial virus in Japanese infants and older adults were evaluated in a retrospective claims database study. (Igarashi A.) Department of Public Health, Yokohama City University School of Medicine, Kanagawa, Japan. , (Igarashi A.) Department of Health Economics and Outcomes Research, Graduate School of Pharmaceutical Sciences, The University of Tokyo, Tokyo, Japan. , (Togo K., kanae.togo@pfizer.com; Kamei K.; Yonemoto N.) Health and Value, Pfizer Japan Inc., Tokyo, Japan. , (Kobayashi Y.) Vaccine Medical Affairs, Pfizer Japan Inc., Tokyo, Japan. , (Ishiwada N., ishiwada@faculty.chiba-u.jp) Department of Infectious Diseases, Medical Mycology Research Center, Chiba University, Chiba, Japan."
75,"Does RSV infection alter the course of chronic lung disease in prematurely born infants? Very premature birth frequently results in chronic respiratory morbidity, particularly if complicated by the development of chronic lung disease, bronchopulmonary dysplasia (BPD). Affected infants may remain oxygen dependent for many months and require hospital readmission in the first two years after birth. Troublesome, recurrent respiratory symptoms requiring treatment are common. The worst affected may remain symptomatic with evidence of airways obstruction even as adults. Infant who are born prematurely and develop BPD are at increased risk of severe respiratory syncytial virus (RSV) infection. RSV infection in prematurely born infants is associated with excess chronic respiratory morbidity, as evidenced by greater frequency of respiratory symptoms, lung function abnormalities and healthcare utilisation. There is some evidence to suggest that prematurely born infants, as those born at term, may be predisposed to symptomatic RSV lower respiratory tract infections by pre-morbid abnormal lung function. Longitudinal studies assessing lung function before and after RSV infection are required to determine whether RSV infection does alter the course of chronic lung disease in prematurely born infants.  2011 Bentham Science Publishers Ltd. (Drysdale S.; Greenough A., anne.greenough@kcl.ac.uk) Division of Asthma, Allergy and Lung Biology, The MRC and Asthma UK Centre in Allergic Mechanisms of Asthma, King's College London, United Kingdom."
76,"Pneumonia in older adults Older adults, particularly those in long-term care facilities, are at high risk for CAP. The microbial causes of pneumonia in residents of long-term care differ from those in healthy, community-dwelling seniors. Resistant strains of Spneumoniae, S aureus, and gram-negative bacilli are found more frequently in the former group. Important preventive measures include influenza immunization and good oral care. The role of viral causes of pneumonia in seniors is becoming better defined. RSV and HMPV cause a greater percentage of disease than previously recognized. RSV infection results in about the same overall healthcare utilization by seniors and influenza A infection. (High K.P.) Department of Medicine, Sections of Infectious Diseases and Hematology and Oncology, Wake Forest University School of Medicine, Winston-Salem, NC, United States."
77,"Determining the outcomes of interventions to prevent respiratory syncytial virus disease in children: what to measure? Respiratory syncytial virus (RSV) is the most common cause of viral acute lower respiratory tract illness (LRTI) in young children, and a major cause of hospital admissions and health-care utilisation globally. Substantial efforts have been made to develop RSV vaccines and vaccine-like monoclonal antibodies to prevent acute RSV LRTI. Prevention of acute disease could improve long-term lung health, with potential effects on wheezing, asthma, and chronic lung disease. This Personal View describes assessments that should be initiated during clinical trials and continued after licensure to fully evaluate the effect of RSV preventive interventions. These assessments include recording the incidence of RSV-specific LRTI and all-cause LRTI through two RSV seasons, and assessment of the prevalence and severity of recurrent wheezing or asthma in children aged up to 6 years. Standardised assessments in diverse settings are needed to fully determine the effect of interventions for the prevention of RSV disease. (Karron R.A.) Center for Immunization Research, Department of International Health, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD, United States. , (Zar H.J., heather.zar@uct.ac.za) Department of Paediatrics and Child Heath, Red Cross War Memorial Children's Hospital, Cape Town, South Africa. , (Zar H.J., heather.zar@uct.ac.za) Medical Research Council Unit on Child and Adolescent Health, University of Cape Town, Cape Town, South Africa."
78,"Prophylaxis with palivizumab against respiratory syncytial virus infection in infants with congenital heart disease - Who should receive it? Respiratory syncytial virus (RSV) infection is the leading cause of infection of the lower respiratory tract in infants, and is also the leading cause of hospitalization during the first year of life. In this issue of Acta Paediatrica, Meberg and Bru report on the incidence and estimated costs of hospitalizations for RSV infections in children with congenital heart disease from a specified region in Norway. Conclusion: Incidence figures of hospitalization due to RSV infection in this high-risk group of infants were similar to the results from several other reports. The cost-benefit analysis of prophylaxis against RSV infection in infants with congenital heart disease, using the monoclonal antibody palivizumab, should also take into account potential savings attributable to such prophylaxis.  2006 Taylor & Francis. (Sunnegardh J., jan.sunnegardh@vgregion.se) Institute for the Health of Women and Children, Queen Silvia Children's Hospital, Goteborg University, Goteborg, Sweden. , (Sunnegardh J., jan.sunnegardh@vgregion.se) Queen Silvia Children's Hospital, Sahlgrenska University Hospital, Smorslottsgatan 1, SE-416 85, Goteborg, Sweden."
79,"RSV vaccine in development: Assessing the potential cost-effectiveness in the Dutch elderly population Objectives: Respiratory syncytial virus (RSV) is increasingly recognized as an important cause of morbidity, mortality and health-care utilization in the elderly population. A theoretical model was built to assess the levels of vaccine effectiveness and vaccine costs for which a hypothetical RSV-vaccine for Dutch elderly could be cost-effective. Methods: Different vaccination strategies were evaluated by changing the levels of vaccine effectiveness and the willingness to pay per quality-adjusted life year gained (QALY). Outcome measures included direct medical costs, QALYs, life years gained, incremental cost-effectiveness ratios (ICERs) and the maximum total vaccination costs per individual (i.e. (vaccine price. +. administration costs)  nr of doses) while remaining cost-effective. Results: Using base-case assumptions, it was estimated that vaccination of all persons 60 years and older would prevent 3402. GP visits, 2989 antibiotic prescriptions, 535 hospitalizations and 249 deaths and would cost 73,261 per QALY, for a vaccine effectiveness of 70%. Vaccinating only the high risk population of 60 years and older would reduce the estimates to 2042. GP visits, 2009 antibiotic prescriptions, 179 hospitalizations and 209 deaths and this reduced the cost per QALY to 34,796 per QALY. Using the same assumptions, the maximum total vaccination costs per individual ranged from 26 when vaccinating all persons 60 and older to 68 when vaccinating only persons aged 85 and above, using a willingness to pay threshold of 50,000 per QALY. For the high risk population aged 60 years and older the estimated maximum total vaccination costs ranged from 52 to 99. Conclusion: Vaccination of Dutch elderly against RSV was found cost-effective for several scenarios. As expected, vaccination is more likely to be cost-effective when only including persons who are at increased risk for contracting RSV or the potential complications of RSV. This theoretical study shows that based on the disease burden in the Dutch population aged 60yrs and older there is potential to develop a vaccine that might be considered cost-effective in the Netherlands.  2013 Elsevier Ltd. (Meijboom M.J.; Pouwels K.B.; Postma M.J.; Hak E., e.hak@rug.nl) Unit of PharmacoEpidemiology and PharmacoEconomics (PE), Department of Pharmacy, University of Groningen, Groningen, Netherlands. , (Meijboom M.J.; Hak E., e.hak@rug.nl) Department of Epidemiology, University Medical Center Groningen (UMCG), University of Groningen, Groningen, Netherlands. , (Luytjes W.) National Institute of Public Health and The Environment, Former Netherlands Vaccine Institute (NVI), Bilthoven, Netherlands."
80,"Using Google Trends to Predict Pediatric Respiratory Syncytial Virus Encounters at a Major Health Care System To assess whether Google search activity predicts lead-time for pediatric respiratory syncytial virus (RSV) encounters within a major health care system. Internet user search and health system encounter database analysis. Pediatric RSV encounter volumes across all clinics and hospitals in the Duke Health system were tabulated from 2005 to 2016. North Carolina Google user search activity for RSV were obtained over the same time period. Time series analysis was used to compare RSV encounters and search activity. Cross-correlation was used to determine the lag time difference between Google user search interest for RSV and observed Pediatric RSV encounter volumes. Google search activity and Pediatric RSV encounter volumes demonstrated strong seasonality with predilection for winter months. Granger Causality testing revealed that North Carolina RSV Google search activity can predict pediatric RSV encounters at our health system (F = 5.72, p < 0.0001). Using cross-correlation, increases in Google search activity provided lead time of 0.21 weeks (1.47 days) prior to observed increases in Pediatric RSV encounter volumes at our health system. RSV is a common cause of upper airway obstruction in pediatric patients for which pediatric otolaryngologists are consulted. We demonstrate that Google search activity can predict RSV patient interactions with a major health system with a measurable lead-time. The ability to predict when illnesses in a population result in increased health care utilization would be an asset to health system providers, planners and administrators. Prediction of RSV would allow specific care pathways to be developed and resource needs to be anticipated before actual presentation. (Crowson M.G., matt.crowson@mail.utoronto.ca; Eskander A.) Department of Otolaryngology-Head & Neck Surgery, Sunnybrook Health Sciences Centre, Toronto, ON, Canada. , (Witsell D.) Division of Otolaryngology-Head & Neck Surgery, Duke University Medical Center, Durham, NC, United States."
81,"Long-term growth and general health for the tiniest or most immature infants Given the improving survival rates of extremely preterm (EP, gestational age <28 weeks) infants, there is a need to understand their general growth and health outcomes not only in childhood, but also into adulthood. EP children are shorter and lighter compared with term children at term-equivalent age with time, the weight disadvantage diminishes but the height disadvantage remains relatively unchanged. EP children and young adults also have higher rates of reported health concerns, medical conditions and visual impairment. Hospital readmissions are higher in early childhood, mostly attributed to respiratory illness. Individuals born EP have reduced bone health and are at increased risk for metabolic disorders. Increased rates of conditions such as diabetes or pathological fractures are not reported in the literature, although follow-up studies so far have only tracked EP individuals into young adulthood. Consequently, health care utilization and costs are increased in EP children and young adults. A thorough knowledge of the health risks related to EP birth is essential in planning surveillance and intervention strategies to optimize their health and wellbeing. Despite the increased risk of health problems, EP young adults generally report their quality of life to be similar to that reported in their term counterparts.  2013 Elsevier Ltd. (Roberts G., gehan.roberts@rch.org.au; Cheong J.L.Y.) Premature Infant Follow-up Program at the Royal Women's Hospital, Melbourne, Australia. , (Roberts G., gehan.roberts@rch.org.au) Department of Paediatrics, University of Melbourne, Melbourne, Australia. , (Roberts G., gehan.roberts@rch.org.au; Cheong J.L.Y.) Murdoch Childrens Research Institute, Melbourne, Australia. , (Cheong J.L.Y.) Department of Obstetrics and Gynaecology, University of Melbourne, Melbourne, Australia."
82,"Comparisons between ethnic groups in hospitalizations for respiratory syncytial virus bronchiolitis in Israel Background Ethnic disparities have been shown in respiratory syncytial virus (RSV) bronchiolitis. However, it is unclear whether such differences are related to access to care. We compared demographic and clinical characteristics of Arab and Jewish children hospitalized for RSV bronchiolitis in Israel, a country with universal health insurance. Methods We reviewed the medical records of all children (n = 309) aged less than 24 months who were hospitalized with RSV between 2008 and 2011 in one medical center in Israel. Demographic, clinical, laboratory and radiological data were collected. The RSV antigen was identified using immunochromatography. Results The annual incidence of RSV hospitalization was 5.4/1000 and 6.8/1000 among Arab and Jewish children, respectively. Arab patients were significantly younger and had significantly younger parents; most lived in low socioeconomic status towns (93.7% vs. 13.3%; p<0.001) and had more siblings (median 2 vs. 1; p = 0.01) compared to Jewish patients. Disease severity did not differ between the two ethnic groups (p = 0.3). The main predictors of severe illness were having pneumonia (adjusted odds ratio [OR] 3.86; 95% confidence intervals [CI] 1.877.97) and history of respiratory diseases (adjusted OR 3.89; 95% CI 1.2212.38). Conclusions The incidence of hospitalizations for RSV bronchiolitis tended to be higher among Jewish than Arab children, possibly due to differences in health care utilization patterns. Differences between the Jewish and Arab patients in demographic factors likely mirror differences between the groups in the general population. Pneumonia, and not ethnicity, affected the severity of RSV bronchiolitis. (Kassem E.; Zahalkah H.) Department of Pediatrics, Hillel Yaffe Medical Center, Hadera, Israel. , (Naamnih W.; Bdair-Amsha A.; Muhsen K., kmuhsen@post.tau.ac.il) Department of Epidemiology and Preventive Medicine, School of Public Health, Sackler Faculty of Medicine, Tel Aviv University, Tel Aviv, Israel."
83,"The association between weather conditions and admissions to the paediatric intensive care unit for respiratory syncytial virus bronchiolitis Respiratory syncytial virus (RSV) bronchiolitis is a leading cause of global child morbidity and mortality. Every year, seasonal RSV outbreaks put high pressure on paediatric intensive care units (PICUs) worldwide, including in the Netherlands, and this burden appears to be increasing. Weather conditions have a strong influence on RSV activity, and climate change has been proposed as a potential important determinant of future RSV-related health care utilisation. In this national study spanning a total of 13 years with 2161 PICU admissions for RSV bronchiolitis, we aimed (1) to identify meteorological variables that were associated with the number of PICU admissions for RSV bronchiolitis in the Netherlands and (2) to determine if longitudinal changes in these variables occurred over time as a possible explanation for the observed increase in PICU burden. Poisson regression modelling was used to identify weather variables (aggregated in months and weeks) that predicted PICU admissions, and linear regression analysis was used to assess changes in the weather over time. Maximum temperature and global radiation best predicted PICU admissions, with global radiation showing the most stable strength of effect in both month and week data. However, we did not observe a significant change in these weather variables over the 13-year time period. Based on our study, we could not identify changing weather conditions as a potential contributing factor to the increased RSV-related PICU burden in the Netherlands. (Linssen R.S., r.s.linssen@amsterdamumc.nl) Amsterdam Reproduction and Development (ARandD) and the Amsterdam Infection and Immunity (ARandI) Research Institutes Medical Centers, Location AMC, Amsterdam, Netherlands. , (Bont L., l.bont@umcutrecht.nl) UMCU Laboratory of Translational Immunology, University Medical Center Utrecht, Wilhelmina Childrens Hospital, Utrecht, Netherlands. , (Bont L., l.bont@umcutrecht.nl) Respiratory Syncytial Virus Network (ReSViNET) Foundation, Zeist, Netherlands. , (Linssen R.S., r.s.linssen@amsterdamumc.nl; Den Hollander B., b.denhollander@amsterdamumc.nl; Van Woensel J.B.M., j.b.vanwoensel@amsterdamumc.nl; Bem R.A., r.a.bem@amsterdamumc.nl) Paediatric Intensive Care Unit, Emma Childrens Hospital, Amsterdam University Medical Centers, Location AMC, Amsterdam, Netherlands. , ()"
84,"Chronic manifestations of respiratory syncytial virus infection in premature infants BACKGROUND: Respiratory syncytial virus (RSV) infection in healthy infants born at term results in long term sequelae. Infants born prematurely are at increased risk of severe acute RSV infection; thus it would seem likely that such infants would be at increased risk of long term respiratory sequelae. METHODS: Methods of assessing the long term outcome of RSV infection are discussed and the results of retrospective and prospective studies investigating chronic respiratory morbidity after RSV infection in premature infants are reviewed. RESULTS: Documentation of all health care utilization, parental documentation of symptom status and lung function measurement provide a comprehensive and quantitative assessment of respiratory outcome. Studies that have included such outcome measures have demonstrated that RSV hospitalization in infants born between 32 and 35 weeks of gestational age and in those born more prematurely who developed chronic lung disease was associated with more hospital admissions, inpatient days, physician contacts and outpatient visits in the first 2 years after birth. Children born before 32 weeks of gestation who developed chronic lung disease also required more outpatient attendances and prescriptions and respiratory medications in years 2 through 4. Prospective data collection has demonstrated that chronic respiratory morbidity occurs in very premature infants, regardless of whether their RSV infection required hospitalization. CONCLUSION: Chronic respiratory morbidity is increased in premature infants after RSV infection. The duration of this increased morbidity and the impact of other viral infections, particularly dual infection with RSV, on long term sequelae merit investigation.  2005 Lippincott Williams & Wilkins, Inc. (Greenough A., anne.greenough@kcl.ac.uk; Broughton S.) Division of Asthma, Allergy and Lung Biology, Guy's, King's and St. Thomas' School of Medicine, King's College, London, United Kingdom. , (Greenough A., anne.greenough@kcl.ac.uk) Neonatal Intensive Care Centre, Golden Jubilee Wing, King's College Hospital, London SE5 9RS, United Kingdom."
85,"Long-term respiratory consequences of premature birth at less than 32 weeks of gestation Chronic respiratory morbidity is a common adverse outcome of very premature birth, particularly in infants who had developed bronchopulmonary dysplasia (BPD). Prematurely born infants who had BPD may require supplementary oxygen at home for many months and affected infants have increased healthcare utilisation until school age. Chest radiograph abnormalities are common; computed tomography of the chest gives predictive information in children with ongoing respiratory problems. Readmission to hospital is common, particularly for those who have BPD and suffer respiratory syncytial virus lower respiratory infections (RSV LRTIs). Recurrent respiratory symptoms requiring treatment are common and are associated with evidence of airways obstruction and gas trapping. Pulmonary function improves with increasing age, but children with BPD may have ongoing airflow limitation. Lung function abnormalities may be more severe in those who had RSV LRTIs, although this may partly be explained by worse premorbid lung function. Worryingly, lung function may deteriorate during the first year. Longitudinal studies are required to determine if there is catch up growth.  2013 Elsevier Ltd. (Greenough A., anne.greenough@kcl.ac.uk) Division of Asthma, Allergy and Lung Biology, The MRC and Asthma UK Centre in Allergic Mechanisms of Asthma King's College, London, United Kingdom."
86,"Immunisation status of children presenting to the emergency department: Linkage of a longitudinal birth cohort with national immunisation data Aim: To describe the relationship between emergency department (ED) diagnosis of infectious disease and immunisation status in children 5 years. We also aimed to demonstrate feasibility of proof-of-concept linkage between disparate databases. Methods: Data from a cohort of 3404 children born in Southeast Queensland/Far North New South Wales between 2006 and 2011 were linked to Australian Childhood Immunisation Registry data and Emergency Department Information System data for presentations between 2006 and 2014. Immunisation status was assigned using the 2009 National Immunisation Program schedule. Results: Of 1490 children (79% of those consented) with data on immunisation status, 87.2 and 84.6% were fully immunised by 12 and 24 months, respectively. Adding partially immunised children increased this to 93.2 and 91.4% at 12 and 24 months, respectively. Nearly two-thirds of all children made at least one ED presentation. Children presenting to ED with an infectious disease did not differ in immunisation status compared to children with other (non-infectious disease type) presentations but were younger, more likely to live with other children and had a longer ED stay and higher admission rate. Respiratory syncytial virus (RSV) was more frequently diagnosed in unimmunised children. Conclusions: In an existing birth cohort, immunisation rates were lower than the national average. RSV was more prevalent in unimmunised children presenting to ED, but immunisation status was not significantly associated with other infectious disease presentations. Linkage between national immunisation data and Australian ED data is feasible and has the potential to identify previously unrecognised factors related to child immunisation status and health-care utilisation. (Keijzers G., gerben.keijzers@health.qld.gov.au; Sweeny A.; Thone J.) Department of Emergency Medicine, Gold Coast University Hospital, Gold Coast, QLD, Australia. , (Keijzers G., gerben.keijzers@health.qld.gov.au) School of Medicine, Bond University, Gold Coast, QLD, Australia. , (Keijzers G., gerben.keijzers@health.qld.gov.au) School of Medicine, Griffith University, Gold Coast, QLD, Australia. , (Crilly J.) Department of Emergency Medicine, Gold Coast Health, Gold Coast, QLD, Australia. , (Crilly J.; Cameron C.M.; Mihala G.; Scuffham P.A.) Menzies Health Institute Queensland, Griffith University, Logan, QLD, Australia. , (Good N.) CSIRO Digitial Productivity/Australian e-Health Research Centre, Royal Women's and Children's Hospital, Brisbane, QLD, Australia."
